had,hebben,"v(fin,past,aux_cop)"
ik,ik,"pron(pers,1,sing)"
een,een,art(indef)
praetje:,praat,n(sing)
Met,eten,conj(coord)
u,gij,"pron(pers,2,plu)"
op,op,adp()
de,de,art(def)
straet.,straat,n(sing)
Wel,el,n(sing)
Floris,lorrie,n(sing)
uw,uw,pron(poss)
"klagen,",klagen,v(infin)
Dat,hebben,interj()
slaet,slaan,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
an?,aan,adp()
Ik,kik,"pron(pers,2,plu)"
heb,hebben,"v(fin,pres,aux_cop)"
geen,geen,pron(indef)
"behagen,",behagen,v(infin)
In,ne,conj(coord)
eenen,een,art(indef)
"Ionkman,",hondman,n(sing)
‘k,kuik,v(imp)
Heb,hebben,adv(gener)
geen,geen,pron(indef)
"behagen,",behagen,v(infin)
Daer,zij,n(sing)
toe,toe,adp()
niet,niet,adv(neg)
"gezind,",zenden,"v(participle,past)"
Te,eer,conj(coord)
spreeken,spreken,v(infin)
van,van,adp()
"paren,",paar,n(sing)
‘k,ook,v(imp)
Ben,een,conj(coord)
maer,maar,conj(coord)
een,een,art(indef)
"Kind,",eind,n(sing)
Van,johannes,interj()
ruim,ruim,n(sing)
zestien,zestien,num(card)
"Iaeren,",haar,n(plu)
Daer,zij,adv(gener)
toe,toe,adv(gener)
"Ouderloos,",juderloos,adj()
Wilt,houden,v(imp)
de,de,art(def)
moeite,moeien,n(sing)
maer,maar,conj(coord)
spaeren:,sparen,n(prop)
Dan,ja,interj()
word,worden,"v(fin,past,aux_cop)"
gy,gij,"pron(pers,2,plu)"
niet,niet,adv(neg)
boos.,boos,adj()
U,en,conj(coord)
tintelende,te+de+tijd,adj()
"Oogen,",oog,n(plu)
Die,ie,interj()
vonken,vonk,n(plu)
van,van,adp()
min;,mijn,pron(poss)
Uw,gij,"pron(pers,3,plu)"
twee,twee,num(card)
bruine,bruin,n(plu)
"Oogen,",oog,n(plu)
Die,ie,adv(gener)
staen,staan,"v(fin,pres,lex)"
in,in,adp()
myn,mijn,adv(gener)
"sin,",zin,"v(fin,pres,aux_cop)"
Uw,uw,conj(coord)
bloosende,blozen,adj()
Kaken:,aken,n(plu)
En,ne,conj(coord)
uw,uw,pron(poss)
roder,rood,adj()
mond?,mond,n(sing)
Mogt,hoog,conj(coord)
ik,ik,"pron(pers,1,sing)"
die,die,art(def)
"genaken,",genaken,n(plu)
Dan,hangen,interj()
wierd,worden,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
"gezond,",gezond,adj()
Met,eten,v(imp)
uw,uw,"pron(pers,2,plu)"
Courale,overraal,n(sing)
Lippen,eppe,v(infin)
Myn,een,pron(poss)
liefste,lief,n(sing)
"Anna,",henna,n(sing)
Ey,hij,n(sing)
later,daar+laten,"v(fin,pres,lex)+pron(pers,3,plu)"
eens,een,art(indef)
"glippen,",gippel,n(sing)
Het,eten,conj(coord)
woortje,woord,n(sing)
van,van,adp()
Ia.,a,n(sing)
Uw,gij,adv(gener)
haring,haring,n(sing)
wel,wel,adv(gener)
"Floris,",lorries,n(prop)
Die,ie,interj()
braed,braden,n(sing)
hier,hier,adv(dem)
niet,niet,adv(neg)
gaer:,gaar,adv(gener)
Uw,gij,adv(inter)
pap,paap,"v(fin,pres,lex)"
die,die,pron(rel)
al,al,adv(gener)
goor,goor,n(sing)
"is,",zijn,"v(fin,pres,aux_cop)"
Gaet,haten,n(sing)
vry,vrij,adj()
op,op,adp()
een,een,art(indef)
"aer,",haar,adj()
Spaert,paard,n(sing)
vry,vrij,adj()
uwe,uw,pron(poss)
Beenen;,een,adj()
Dan,hangen,interj()
hebt,hebben,v(imp)
gy,gij,"pron(pers,2,plu)"
geen,geen,num(card)
nood:,nood,n(sing)
Op,op,adv(gener)
dat,dat,pron(rel)
gy,gij,"pron(pers,2,plu)"
uw,uw,interj()
scheenen;,schijnen,v(infin)
Hier,ir,adv(gener)
niet,niet,adv(neg)
blaeuw,blauw,n(sing)
en,ne,adv(neg)
"sloot,",sluiten,"v(fin,pres,lex)"
Zoo,o,interj()
verslyt,verslinden,v(imp)
gy,gij,"pron(pers,2,plu)"
geen,geen,pron(indef)
"Schoenen,",gechonen,v(infin)
Alhier,hier,n(sing)
op,op,adp()
myn,mijn,pron(poss)
Trap:,rap,n(sing)
Want,hand,conj(coord)
gy,gij,"pron(pers,2,plu)"
hebt,hebben,"v(fin,pres,aux_cop)"
van,van,adp()
doenen;,doen,n(sing)
Uw,uw,pron(poss)
geld,geld,n(sing)
tot,tot,adp()
gelap.,gelap,n(sing)
Al,al,adv(gener)
uw,uw,"pron(pers,1,sing)"
spytig,spitig,adj()
"spreeken,",spreken,v(infin)
Dat,haten,conj(subord)
doet,doen,v(imp)
my,ik,"pron(pers,1,sing)"
de,de,art(def)
"dood,",dood,n(sing)
Myn,een,pron(poss)
Hart,hard,n(sing)
scheynd,schijnen,n(sing)
te,te,adp()
"breeken,",breken,v(infin)
Van,hangen,interj()
liefde,liefde,n(sing)
zoo,zo,n(sing)
groot,groot,adj()
Vergun,ergus+dag,n(sing)
my,ik,"pron(pers,1,sing)"
te,te,adp()
"trekken,",trekken,v(infin)
Myn,een,pron(poss)
leden,lijden,"v(participle,past)"
regt,recht,adv(gener)
uit,uit,adp()
Op,op,adv(gener)
dat,dat,conj(subord)
wy,wij,"pron(pers,1,plu)"
ons,wij,pron(poss)
dekken;,dekken,n(sing)
Als,als,"v(fin,pres,aux_cop)"
Bruidegom,vrijdog,n(sing)
en,ne,art(indef)
"Bruid,",rouwen,n(sing)
Want,hand,conj(coord)
gy,gij,"pron(pers,2,plu)"
hebt,hebben,"v(fin,pres,aux_cop)"
geen,geen,num(card)
Vader!,hader,adj()
Nog,ook,interj()
Moeder,oud,conj(coord)
zie,zij,"pron(pers,3,plu)"
"daer,",daar,adv(dem)
Kom,hij,v(imp)
laet,laten,v(imp)
ons,wij,"pron(pers,1,plu)"
te,te,adp()
"gader,",gader,n(sing)
Nu,gij,"pron(pers,2,plu)"
worden,worden,"v(fin,pres,aux_cop)"
een,een,art(indef)
Paer.,haar,n(sing)
"Weg,",eg,n(sing)
weg;,weg,adj()
met,met,adp()
uw,uw,pron(poss)
razen:,raas,n(prop)
Koop,hopen,conj(coord)
Koek,lemma,adv(gener)
voor,voor,adp()
u,gij,pron(poss)
geld:,gelden,n(sing)
Het,eten,conj(coord)
zyn,zijn,pron(poss)
viezevazen?,vierzanden,n(sing)
Die,hier,interj()
gy,gij,"pron(pers,2,plu)"
my,ik,"pron(pers,1,sing)"
verteld:,vertellen,"v(participle,past)"
Ik,kuik,"pron(pers,2,plu)"
lag,liggen,"v(fin,pres,aux_cop)"
met,met,adp()
u,gij,"pron(pers,2,plu)"
"klagen,",klagen,v(infin)
Ik,koken,"pron(pers,1,sing)"
spot,spotten,n(sing)
met,met,adp()
u,gij,"pron(pers,2,plu)"
"Pyn,",een,misc()
Gy,gij,interj()
kund,kunnen,adj()
niet,niet,adv(neg)
"behagen,",behagen,v(infin)
De,een,pron(poss)
zinnen,zin,n(plu)
van,van,adp()
"myn,",mijn,pron(poss)
Ik,kok,n(sing)
stop’er,stopper,n(sing)
myn,mijn,pron(poss)
ooren;,oor,n(sing)
Voor,horen,n(sing)
al,al,num(indef)
uw,uw,pron(poss)
geween;,geween,n(sing)
Ik,kok,n(sing)
wil,willen,"v(fin,pres,aux_cop)"
uw,uw,"pron(pers,2,plu)"
niet,niet,adv(neg)
"hooren,",horen,v(infin)
Vertrek,erret,n(sing)
en,ne,adv(neg)
gaet,gaan,"v(fin,pres,lex)"
heen.,hebben,v(infin)
Kom,hij,adv(gener)
kleen,klein,n(sing)
Venus,een,n(sing)
"Wigje,",eigen,n(sing)
Weest,eest,"v(fin,pres,lex)"
nu,nu,adv(dem)
de,de,art(def)
Piloot,giloot,n(sing)
En,ne,adv(neg)
schiet,scheiden,"v(fin,pres,lex)"
met,met,adp()
een,een,art(indef)
schigje:,schien,n(sing)
In,in,conj(coord)
haer,haar,n(sing)
teere,een+te,art(indef)+adp()
"schoot,",schoot,n(sing)
Vergun,ergus+hij,v(infin)
my,ik,"pron(pers,1,sing)"
genade;,genade,adj()
Klein,lein,n(prop)
Cupido,eupidol,n(prop)
"zoet,",zoet,"v(fin,pres,aux_cop)"
Of,of,conj(coord)
ik,ik,"pron(pers,1,sing)"
zal,zullen,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
baden:,bidden,v(infin)
Met,eten,v(imp)
myn,mijn,pron(poss)
eygen,eigen,n(sing)
"Bloed,",lood,n(sing)
Adieu,adieu,"pron(pers,2,sing)"
dan,dan,conj(comp)
"Leeuwinnen,",eeuwin,v(infin)
Gy,een,"pron(pers,1,sing)"
zyt,zijn,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
al,al,adv(gener)
te,te,adp()
"straf,",straffen,n(sing)
Ik,koken,pron(poss)
schep,schip,n(sing)
‘er,eer,adv(gener)
uit,uit,adv(gener)
met,met,adp()
"Minne,",eind,n(prop)
De,eerietlang,pron(poss)
liefde,liefde,n(sing)
snep,snep,"v(fin,pres,lex)"
ik,ik,"pron(pers,1,sing)"
af.,af,"v(fin,past,lex)"
