id,True,Pred
Jan Zoet,Jan Zoet,Jacob Steendam
Matthijs de Castelein,Matthijs de Castelein,Johanna de Gavre
Aegidius Haeffacker,Aegidius Haeffacker,Jacobus de Ruyter
Hieronymus Sweerts,Hieronymus Sweerts,Jan Pieter Heije
Dirck Pietersz Pers,Dirck Pietersz Pers,Joannes van Sambeeck
Lambert de Visscher,Lambert de Visscher,Hendrik Jacobz. Soetenboom
Pieter van Gelre,Pieter van Gelre,Nicolaes Janssens
Hendrick Jansz. Prins,Hendrick Jansz. Prins,G.A. Bredero
Dirck Pietersz Pers,Dirck Pietersz Pers,Livinus van der Minnen
Christianus de Placker,Christianus de Placker,Anthony Jansen
Willem Sluiter,Willem Sluiter,Reynier Rooleeuw
Christianus Vermeulen,Christianus Vermeulen,A. de R. en J.G.
Joannes de Lixbona,Joannes de Lixbona,Jacobus de Ruyter
Johannes Stichter,Johannes Stichter,Pieter Lenaerts van der Goes
Jakobus Rosseau,Jakobus Rosseau,Claes Stapel
J.F. Willems,J.F. Willems,Matthijs van der Merwede
Godfried Bussé,Godfried Bussé,Lambert de Visscher
Lambert de Visscher,Lambert de Visscher,Jan Pieter Heije
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Johannes Wilhelmus Bussingh
Johannes Stichter,Johannes Stichter,Franciscus Ridderus
anoniem,anoniem,Joannes van Dyck
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Hans de Ries
Dirck Pietersz Pers,Dirck Pietersz Pers,Cornelis Maertsz.
Zacharias Heyns,Zacharias Heyns,Jan Thieullier
Justus de Harduwijn,Justus de Harduwijn,J.F. Willems
Frans vander Straten de jongere,Frans vander Straten de jongere,Karel van Mander
Joost van den Vondel,Joost van den Vondel,Dirck Pietersz Pers
G.A. Bredero,G.A. Bredero,Pieter Datheen
Tjaert Sonnema,Tjaert Sonnema,Franciscus Ridderus
Guilielmus Bolognino,Guilielmus Bolognino,Hendrik Rintjes
Guilielmus Bolognino,Guilielmus Bolognino,Cornelis de Leeuw
J. Jacobsz. Harlingen,J. Jacobsz. Harlingen,Jacob Claesz
Christianus Vermeulen,Christianus Vermeulen,Isaak A. van Vaerlen en Jan Jansz. van Asten
Barent Pietersz. Kompas,Barent Pietersz. Kompas,Willem de Swaen
Cornelis Sweerts,Cornelis Sweerts,Gerrit Manheer
Tjaert Sonnema,Tjaert Sonnema,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Hendrick Jansz. Prins,Hendrick Jansz. Prins,Albertus Buitendyck
Jacobus Viverius,Jacobus Viverius,Johanna de Gavre
Jan Mommaert,Jan Mommaert,"Petrus Suetmans, Eustachius de Meyer"
Joannes van Dyck,Joannes van Dyck,Jacob Coenraetsz Mayvogel
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Joannes Stalpaert van der Wiele
Dirck Pietersz Pers,Dirck Pietersz Pers,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Johanna de Gavre,Johanna de Gavre,C.P. van Wesbusch
Jan Pieter Heije,Jan Pieter Heije,"J. Veldkamp en K. de Boer, J. Veldkamp, K. de Boer"
Henricus Costerius,Henricus Costerius,Nicolaes Janssens
Joan Blasius,Joan Blasius,Willem Sluiter
David Montanus,David Montanus,Jan van Hoogstraten
Hendrik Riemsnijder,Hendrik Riemsnijder,Adriaan Loosjes Pzn.
Jacobus Revius,Jacobus Revius,Cornelis Stribeé
Florimond van Duyse,Florimond van Duyse,Nicolaes Janssens
Hendrik Rintjes,Hendrik Rintjes,Pieter Datheen
Arnold Bon,Arnold Bon,Aegidius Haeffacker
W.J. van Zeggelen,W.J. van Zeggelen,Carolus Tuinman
Christianus Vermeulen,Christianus Vermeulen,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Willem Sluiter,Willem Sluiter,Wolterus ter Burgh
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa","Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Florimond van Duyse
J.F. Willems,J.F. Willems,Florimond van Duyse
J.F. Willems,J.F. Willems,Florimond van Duyse
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Jacob Coenraetsz Mayvogel
Carolus Tuinman,Carolus Tuinman,Frans de Cort
C. J. Wits,C. J. Wits,G.A. Bredero
Pieter de Vos,Pieter de Vos,Jacob Rosant
Frans vander Straten de jongere,Frans vander Straten de jongere,Joris Wybo
Albertus Ignatius d'Hanins,Albertus Ignatius d'Hanins,Livinus van der Minnen
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Js. M. Pfeil
"Louis Sette, Hinderick Ryeland","Louis Sette, Hinderick Ryeland",Florimond van Duyse
Pieter Cauwe,Pieter Cauwe,Philips van Marnix
Jacob Claesz,Jacob Claesz,G.A. Bredero
"F. Pitton, F.Pitton","F. Pitton, F.Pitton",Cornelis Sweerts
Daniel Bellemans,Daniel Bellemans,"Petrus Suetmans, Eustachius de Meyer"
Samuel Coster,Samuel Coster,Anthony Jansen
Livinus van der Minnen,Livinus van der Minnen,Daniel Bellemans
Johan van Born,Johan van Born,C. J. Wits
Jan Mommaert,Jan Mommaert,"R.J. de Nerée, P.C. Hooft, C.G. Plemp"
Arnold Bon,Arnold Bon,Herman Harts
Lucas de Heere,Lucas de Heere,Justus de Harduwijn
J.F. Willems,J.F. Willems,Haerlem Soetendal
Jan Mommaert,Jan Mommaert,Guilelmus van der Borcht
anoniem,anoniem,Femme Gerbrantsz Drieduym
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,E. Pels de Jonge
J.F. Willems,J.F. Willems,Florimond van Duyse
Thomas Fonteyn,Thomas Fonteyn,Albertus Buitendyck
Johan van Born,Johan van Born,Bernardus Busschoff
anoniem,anoniem,Jacob Cats
Hendrik Uilenbroek,Hendrik Uilenbroek,Claes Stapel
"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn","Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",Carolus Tuinman
J.F. Willems,J.F. Willems,Lucas de Heere
Abdias Velingius,Abdias Velingius,Carolus Tuinman
Augustinus van Teylingen,Augustinus van Teylingen,Hendrik Rintjes
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Joannes Mys
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,C. J. Wits
Reynier Rooleeuw,Reynier Rooleeuw,Franciscus Ridderus
Jacob Rosant,Jacob Rosant,Lucas de Heere
Willem Sluiter,Willem Sluiter,Jacobus Revius
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Willem de Swaen
Hermanus van den Burg,Hermanus van den Burg,Johan van Born
Hieronymus van Alphen,Hieronymus van Alphen,Claes Stapel
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Johannes Stichter
Hieronymus van Alphen,Hieronymus van Alphen,Jan Utenhove
Philippus van Sorgen,Philippus van Sorgen,E. Pels de Jonge
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Johan Deknatel
Jan van Eijk,Jan van Eijk,Cornelis Maertsz.
Dirck Pietersz Pers,Dirck Pietersz Pers,Joannes van Dyck
Livinus van der Minnen,Livinus van der Minnen,Guilielmus Bolognino
Hermanus van den Burg,Hermanus van den Burg,Gerrit Manheer
Hieronymus van Alphen,Hieronymus van Alphen,Aagje Deken en Klaas van der Horst
Aernout van Overbeke,Aernout van Overbeke,Arnold Bon
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
F.A. Snellaert,F.A. Snellaert,J.F. Willems
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Boudewijn Jansen Wellens
Rutger Schutte,Rutger Schutte,François Halma
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Cornelis Stribeé
Joannes Cloeck,Joannes Cloeck,Claes Stapel
Gerrit Manheer,Gerrit Manheer,Carolus Tuinman
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Gerrit Hendricksz. van Breughel
C. J. Wits,C. J. Wits,Arnold Bon
Js. M. Pfeil,Js. M. Pfeil,Tannetge Kornelis Blok
Livinus van der Minnen,Livinus van der Minnen,François Halma
Willem de Swaen,Willem de Swaen,Jan Jansz. Deutel
J.F. Willems,J.F. Willems,Alle Dercks
Jan Mommaert,Jan Mommaert,Franciscus Ridderus
Willem Sluiter,Willem Sluiter,Willem de Swaen
Anthony Jansen,Anthony Jansen,E. Pels de Jonge
Philippus Jennyn,Philippus Jennyn,Justus de Harduwijn
Hieronymus van Alphen,Hieronymus van Alphen,Jan Pieter Heije
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
C. Rhijnenburgh,C. Rhijnenburgh,G.A. Bredero
Karel van Mander,Karel van Mander,Hendrick Jansz. Prins
Joost van den Vondel,Joost van den Vondel,Joannes Stalpaert van der Wiele
Jacobus de Ruyter,Jacobus de Ruyter,Jacob Cats
Jan Jacob Mauricius,Jan Jacob Mauricius,Claes Stapel
Philippus van Sorgen,Philippus van Sorgen,Claes Stapel
H. van Vijfderley,H. van Vijfderley,Herman Harts
Joannes de Lixbona,Joannes de Lixbona,Jacobus de Ruyter
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Gerrit Hendricksz. van Breughel
Jan Thieullier,Jan Thieullier,Joan Ysermans
Hieronymus van Alphen,Hieronymus van Alphen,Johannes Hazeu Cornelisz. en Dirk van der Reijden
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Tjaert Sonnema
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
Daniel Bellemans,Daniel Bellemans,Lucas van Mechelen
Jan Thieullier,Jan Thieullier,Marijn de Brauwer
J.W. Lustig,J.W. Lustig,D. Porcelijn
Hendrik Uilenbroek,Hendrik Uilenbroek,Jacob Steendam
Zacharias Heyns,Zacharias Heyns,Jacob Rosant
Franciscus Ridderus,Franciscus Ridderus,Jan Thieullier
Hendrik Uilenbroek,Hendrik Uilenbroek,Jan van Hoogstraten
"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn","Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",Franciscus Ridderus
Samuel Coster,Samuel Coster,Jan Jansz. Orlers
Claes Stapel,Claes Stapel,Jacob Steendam
Thomas Fonteyn,Thomas Fonteyn,Jan Pieter Heije
Jakobus Rosseau,Jakobus Rosseau,Florimond van Duyse
Florimond van Duyse,Florimond van Duyse,Jan Thieullier
Arnold Bon,Arnold Bon,Joan Blasius
Johan van Born,Johan van Born,Dirk Rafaelsz. Camphuysen
Aegidius Haeffacker,Aegidius Haeffacker,Augustinus van Teylingen
Dirck Pietersz Pers,Dirck Pietersz Pers,Franciscus Ridderus
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Aegidius Haeffacker
Philips van Marnix van Sint Aldegonde,Philips van Marnix van Sint Aldegonde,Isaak A. van Vaerlen en Jan Jansz. van Asten
Joost van den Vondel,Joost van den Vondel,Cornelis Maertsz.
Hendrik Rintjes,Hendrik Rintjes,Johan Fruytiers
E.J. Boneschanscher,E.J. Boneschanscher,Jan Pieter Heije
Johannes Stichter,Johannes Stichter,Jacob Rosant
Daniel Bellemans,Daniel Bellemans,Livinus van der Minnen
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Cornelis Maertsz.
J.F. Willems,J.F. Willems,Florimond van Duyse
Anthony Jansen,Anthony Jansen,"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen"
Johan van Born,Johan van Born,Willem de Swaen
Cornelis Sweerts,Cornelis Sweerts,Carolus Tuinman
Anthony Jansen,Anthony Jansen,Cornelis de Leeuw
Hendrik Rintjes,Hendrik Rintjes,Claes Stapel
Barent Pietersz. Kompas,Barent Pietersz. Kompas,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Dirk Rafaelsz. Camphuysen
Leenaert Clock,Leenaert Clock,Samuel Ampzing
Willem de Swaen,Willem de Swaen,Jacobus de Ruyter
Js. M. Pfeil,Js. M. Pfeil,Jan Pieter Heije
Florimond van Duyse,Florimond van Duyse,Pieter Christiaenszoon Bor
M. van de Speybroek,M. van de Speybroek,Jacobus de Ruyter
Johanna de Gavre,Johanna de Gavre,Karel van Mander
Herman Ockes,Herman Ockes,Jan van Westerhoven
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen"
Joannes Stalpaert van der Wiele,Joannes Stalpaert van der Wiele,Guilielmus Bolognino
Florimond van Duyse,Florimond van Duyse,"Petrus Suetmans, Eustachius de Meyer"
J.F. Willems,J.F. Willems,Leonardus Gouwerak
Anthony Jansen,Anthony Jansen,Carolus Tuinman
Guilielmus Bolognino,Guilielmus Bolognino,Johanna de Gavre
M. van de Speybroek,M. van de Speybroek,Zacharias Heyns
Franciscus Ridderus,Franciscus Ridderus,J.F. Willems
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
Jodocus van Lodenstein,Jodocus van Lodenstein,Jan van Hoogstraten
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Christianus Vermeulen
Cornelis de Leeuw,Cornelis de Leeuw,Justus de Harduwijn
Joost van den Vondel,Joost van den Vondel,Cornelis Maertsz.
Lucas van Mechelen,Lucas van Mechelen,Johanna de Gavre
Pieter van Gelre,Pieter van Gelre,Willem de Swaen
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,M. van de Speybroek
Hendrick Jansz. Prins,Hendrick Jansz. Prins,Joannes Mys
Franciscus de Laat,Franciscus de Laat,Jacob Claesz
Jacob Claesz,Jacob Claesz,Florimond van Duyse
Andries Pels,Andries Pels,Jan van Hoogstraten
Jan Pieter Heije,Jan Pieter Heije,Js. M. Pfeil
Frans vander Straten de jongere,Frans vander Straten de jongere,Jan Jansz. Deutel
Pieter de Vos,Pieter de Vos,Jacobus de Ruyter
Frans vander Straten de jongere,Frans vander Straten de jongere,Karel van Mander
Jacob Rosant,Jacob Rosant,Franciscus Ridderus
Joost van den Vondel,Joost van den Vondel,Albertus Buitendyck
Marijn de Brauwer,Marijn de Brauwer,Jacob Westerbaen
Johannes d' Outrein,Johannes d' Outrein,Carolus Tuinman
Lambert de Visscher,Lambert de Visscher,Jacob Rosant
Joos Verschuere Reynvaan,Joos Verschuere Reynvaan,Lambert de Visscher
Hendrik Uilenbroek,Hendrik Uilenbroek,Jacob Steendam
J. Tradel,J. Tradel,François Halma
Aernout van Overbeke,Aernout van Overbeke,Franciscus Ridderus
Jacobus de Ruyter,Jacobus de Ruyter,Justus de Harduwijn
Jacob Rosant,Jacob Rosant,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Js. M. Pfeil,Js. M. Pfeil,J. Smeerbol
Franciscus Ridderus,Franciscus Ridderus,Pieter de Vos
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Hendrik Riemsnijder
Pieter de Vos,Pieter de Vos,Cornelis Maertsz.
M.A. Brandts-Buys,M.A. Brandts-Buys,Hendrik Riemsnijder
Tannetge Kornelis Blok,Tannetge Kornelis Blok,Jacob Rosant
Gaudentius van Loemel,Gaudentius van Loemel,Jan van Eijk
Hendrik Rintjes,Hendrik Rintjes,Johan Fruytiers
Hieronymus van Alphen,Hieronymus van Alphen,Albertus Buitendyck
Govert van Mater,Govert van Mater,Jan van Hoogstraten
Florimond van Duyse,Florimond van Duyse,"Hendrik Lussing, Matthijsz."
Jacob Westerbaen,Jacob Westerbaen,Carolus Tuinman
Herman Harts,Herman Harts,Albertus Buitendyck
Pieter Cornelisz. van der Morsch,Pieter Cornelisz. van der Morsch,Thomas Fonteyn
Johan Deknatel,Johan Deknatel,Jan Pieter Heije
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Carolus Tuinman
Joannes Six van Chandelier,Joannes Six van Chandelier,G.A. Bredero
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Pieter Nootmans
Joannes de Lixbona,Joannes de Lixbona,"Petrus Suetmans, Eustachius de Meyer"
David Joris,David Joris,C. J. Wits
Daniël Willink,Daniël Willink,Hieronymus van Alphen
Johan van Heemskerck,Johan van Heemskerck,Cornelis Maertsz.
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Jan Pieter Heije
David Joris,David Joris,Hans de Ries
Jan Pieter Heije,Jan Pieter Heije,Jan van Hoogstraten
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Willem de Swaen
Johan van Born,Johan van Born,Bernardus Busschoff
Willem de Swaen,Willem de Swaen,Jodocus van Lodenstein
P.A. Dreyer,P.A. Dreyer,Jacob Coenraetsz Mayvogel
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Jan Thieullier
Hermanus van den Burg,Hermanus van den Burg,Joannes Six van Chandelier
Johan Deknatel,Johan Deknatel,Claes Stapel
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Hendrik Riemsnijder
J.F. Willems,J.F. Willems,Florimond van Duyse
J.F. Willems,J.F. Willems,Florimond van Duyse
Arnold Bon,Arnold Bon,G.A. Bredero
G.A. Bredero,G.A. Bredero,Pieter Lenaerts van der Goes
Cornelis Maertsz.,Cornelis Maertsz.,Hendrick Jansz. Prins
J.F. Willems,J.F. Willems,J. Jacobsz. Harlingen
Cornelis Sweerts,Cornelis Sweerts,"Antoine Mahaut, Kornelis Elzevier"
David Montanus,David Montanus,Simon Jansz Fortuyn
Hieronymus van Alphen,Hieronymus van Alphen,François Halma
Jacob Rosant,Jacob Rosant,Johannes Stichter
Gijsbertus van Sandwijk,Gijsbertus van Sandwijk,Jan Pieter Heije
Jakobus Rosseau,Jakobus Rosseau,"Antoine Mahaut, Kornelis Elzevier"
Florimond van Duyse,Florimond van Duyse,Matthijs de Castelein
J.F. Willems,J.F. Willems,Florimond van Duyse
Christianus de Placker,Christianus de Placker,M. van de Speybroek
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Gerrit Manheer
Anthony Jansen,Anthony Jansen,Claes Stapel
Jacob Claesz,Jacob Claesz,"B. Targier, Anthony Jansen"
Jacobus de Ruyter,Jacobus de Ruyter,Aegidius Haeffacker
Jan Mommaert,Jan Mommaert,Livinus van der Minnen
Haerlem Soetendal,Haerlem Soetendal,Jacobus de Ruyter
"Adriaan Loosjes, Jan van Walré","Adriaan Loosjes, Jan van Walré",Jan van Eijk
Willem de Swaen,Willem de Swaen,Jacobus de Ruyter
Lambert de Visscher,Lambert de Visscher,Jacob Rosant
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Js. M. Pfeil
Thomas Fonteyn,Thomas Fonteyn,Gerrit Manheer
Arnold Bon,Arnold Bon,Gerrit Manheer
Franciscus Ridderus,Franciscus Ridderus,Carolus Tuinman
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",Abdias Velingius
Gaudentius van Loemel,Gaudentius van Loemel,Dirk Rafaelsz. Camphuysen
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Joannes Stalpaert van der Wiele
Cornelis Stribeé,Cornelis Stribeé,Cornelis Maertsz.
Augustinus van Teylingen,Augustinus van Teylingen,Nicolaes Janssens
Willem Sluiter,Willem Sluiter,Johannes Stichter
Jan Mommaert,Jan Mommaert,Jakobus Rosseau
Jacob Steendam,Jacob Steendam,Jan Pieter Heije
Zacharias Heyns,Zacharias Heyns,Karel van Mander
Jan Thieullier,Jan Thieullier,Joos Verschuere Reynvaan
Hermanus van den Burg,Hermanus van den Burg,J.Z. Baron
Guilielmus Bolognino,Guilielmus Bolognino,Leenaert Clock
G.A. Bredero,G.A. Bredero,Guilielmus Bolognino
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,Florimond van Duyse
Willem de Swaen,Willem de Swaen,Jacob Rosant
Pieter Elsevier,Pieter Elsevier,Aernout van Overbeke
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa","Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Florimond van Duyse
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,Pieter de Vos
Karel van Mander,Karel van Mander,Gerrit Hendricksz. van Breughel
François Halma,François Halma,Jacobus Revius
